Data;Descrição;Cor;Quantidade;Valor;Situação;Cliente_ID;Região;Canal_Venda;Desconto;Campanha_Marketing;Categoria_Produto;Valor_Final;Ticket_Medio
2025-01-01;Lanterna;Vermelho;4;40.00;Não pago;1027;Leste;Loja Física;5;Campanha A;Eletrônico;152.00;256.87
2025-01-01;Cola;Azul;5;6.00;Não pago;1013;Centro-Oeste;Online;5;Campanha B;Material;28.50;219.01
2025-01-01;Fita;Vermelho;5;80.00;Pago;1075;Centro-Oeste;Online;5;Campanha B;Material;380.00;240.01
2025-01-01;Lanterna;Vermelho;9;96.00;Pago;1007;Norte;Loja Física;15;Campanha B;Eletrônico;734.40;236.13
2025-01-01;Marreta;Preto;8;94.00;Não pago;1006;Sul;Online;15;Campanha A;Ferramenta;639.20;223.34
2025-01-01;Fita;Preto;9;63.00;Pago;1004;Leste;Online;5;Nenhuma;Material;538.65;242.55
2025-01-01;Fita;Amarelo;3;35.00;Não pago;1000;Norte;Online;10;Nenhuma;Material;94.50;235.80
2025-01-01;Lanterna;Azul;3;72.00;Não pago;1072;Norte;Online;15;Campanha B;Eletrônico;183.60;261.87
2025-01-01;Martelo;Vermelho;1;61.00;Não pago;1081;Leste;Loja Física;5;Nenhuma;Ferramenta;57.95;234.18
2025-01-01;Marreta;Azul;6;5.00;Não pago;1009;Sul;Loja Física;0;Campanha B;Ferramenta;30.00;246.80
2025-01-01;Lanterna;Verde;4;37.00;Pago;1057;Centro-Oeste;Online;10;Campanha A;Eletrônico;133.20;237.56
2025-01-01;Marreta;Vermelho;8;76.00;Não pago;1064;Leste;Online;15;Campanha A;Ferramenta;516.80;247.13
2025-01-01;Marreta;Azul;2;89.00;Não pago;1059;Sul;Online;10;Nenhuma;Ferramenta;160.20;217.20
2025-01-01;Fita;Amarelo;2;97.00;Pago;1019;Centro-Oeste;Online;5;Campanha B;Material;184.30;224.82
2025-01-01;Cola;Amarelo;7;88.00;Pago;1057;Oeste;Online;0;Campanha A;Material;616.00;237.56
2025-01-01;Marreta;Vermelho;5;11.00;Pago;1042;Leste;Online;0;Nenhuma;Ferramenta;55.00;211.40
2025-01-01;Parafuso;Verde;1;99.00;Pago;1028;Leste;Loja Física;5;Campanha B;Material;94.05;226.52
2025-01-01;Fita;Amarelo;7;40.00;Pago;1001;Sul;Online;10;Campanha A;Material;252.00;230.52
2025-01-01;Martelo;Amarelo;7;65.00;Pago;1025;Norte;Loja Física;15;Nenhuma;Ferramenta;386.75;231.28
2025-01-01;Cola;Verde;6;8.00;Não pago;1074;Norte;Loja Física;5;Campanha B;Material;45.60;216.18
2025-01-01;Parafuso;Azul;4;87.00;Não pago;1088;Sul;Loja Física;10;Campanha B;Material;313.20;260.44
2025-01-01;Parafuso;Amarelo;8;84.00;Pago;1097;Leste;Online;5;Campanha A;Material;638.40;213.03
2025-01-01;Martelo;Preto;2;96.00;Pago;1058;Leste;Online;0;Nenhuma;Ferramenta;192.00;254.17
2025-01-01;Cola;Amarelo;2;11.00;Não pago;1000;Leste;Loja Física;15;Nenhuma;Material;18.70;235.80
2025-01-01;Fita;Azul;2;71.00;Pago;1030;Oeste;Loja Física;5;Campanha B;Material;134.90;209.09
2025-01-01;Alicate;Azul;3;58.00;Pago;1037;Norte;Online;0;Campanha A;Ferramenta;174.00;222.72
2025-01-01;Cola;Vermelho;6;94.00;Pago;1021;Oeste;Online;5;Campanha A;Material;535.80;226.62
2025-01-01;Martelo;Preto;1;48.00;Não pago;1065;Leste;Online;0;Nenhuma;Ferramenta;48.00;270.19
2025-01-02;Parafuso;Azul;2;13.00;Pago;1046;Norte;Online;0;Campanha B;Material;26.00;250.01
2025-01-02;Fita;Verde;2;60.00;Não pago;1000;Leste;Online;15;Nenhuma;Material;102.00;235.80
2025-01-02;Cola;Preto;1;49.00;Não pago;1087;Leste;Loja Física;0;Nenhuma;Material;49.00;241.42
2025-01-02;Alicate;Preto;3;67.00;Não pago;1049;Sul;Online;15;Campanha B;Ferramenta;170.85;215.84
